iter	RMSE
0	0.8330257022
1	0.7736615535
2	0.7385052202
3	0.7158614477
4	0.7021111557
5	0.6929026875
6	0.6862510982
7	0.682281019
8	0.67893972
9	0.6768235614
10	0.6749982413
11	0.6735693921
12	0.6725757041
13	0.6706791718
14	0.6683823319
15	0.6654727647
16	0.6642579021
17	0.663761772
18	0.6633026362
19	0.6487042821
20	0.6452382609
21	0.6366907879
22	0.6360493389
23	0.6349740039
24	0.6305369972
25	0.6295145423
26	0.6287936017
27	0.6283730198
28	0.6279568567
29	0.6237194969
30	0.6230025035
31	0.622546842
32	0.6165955048
33	0.6105893219
34	0.6098836769
35	0.6093167253
36	0.6086447013
37	0.6061525662
