iter	Passed	Remaining
0	2214	1104910
1	3723	927115
2	5109	846394
3	6448	799594
4	7874	779615
5	9306	766269
6	10598	746409
7	11864	729645
8	12995	708966
9	14402	705734
10	15729	699231
11	16984	690690
12	18086	677541
13	19211	666916
14	20552	664518
15	21938	663628
16	22886	650236
17	23829	638092
18	24793	627655
19	26734	641624
20	28143	641941
21	29649	644207
22	30751	637759
23	32045	635564
24	33415	634900
25	34588	630567
26	35642	624396
27	36596	616920
28	37543	609759
29	38853	608701
30	39794	602046
31	40843	597343
32	42370	599602
33	44563	610783
34	45629	606223
35	47730	615199
36	48691	609307
37	50193	610247
